"route_id","agency_id","route_short_name","route_long_name","route_type"
"411","6743","41","LAUKAA-JYVÄSKYLÄ","3"
"412","6743","41","JYVÄSKYLÄ-LAUKAA","3"
"6541","6714","13M","13M JYVÄSKYLÄ-JÄMSÄNKOSKI","3"
"9011","6714","1","HAAPANIEMI-KORTEMÄKI","3"
"9012","6714","1","KORTEMÄKI-HAAPANIEMI","3"
"9013","6714","1M","HAAPANIEMI-VIITANIEMI","3"
"9014","6714","1M","VIITANIEMI-HAAPANIEMI","3"
"9021","6714","2","KAUNISHARJU-KORTEMÄKI","3"
"9022","6714","2","KORTEMÄKI-KAUNISHARJU","3"
"9023","6714","2M","KAUNISHARJU-KESKUSSAIRAALA","3"
"9024","6714","2M","KESKUSSAIRAALA-KAUNISHARJU","3"
"9031","6714","3","VAAJAKOSKI-KESKUSTA","3"
"9032","6714","3","KESKUSTA-VAAJAKOSKI","3"
"9033","6714","3K","HALSSILA-HUHTAHARJUN KOULU","3"
"9034","6714","3K","HUHTAHARJUN KOULU-HALSSILA","3"
"9041","6714","4","VIHERLANDIA-KESKUSSAIRAALA","3"
"9042","6714","4","KESKUSSAIRAALA-VIHERLANDIA","3"
"9051","6714","5","YLISTÖNMÄKI-VIITANIEMI","3"
"9052","6714","5","VIITANIEMI-YLISTÖNMÄKI","3"
"9053","6714","5K","KORTEPOHJA-YLISTÖNMÄKI","3"
"9071","6714","7","SÄÄKSVUORI-KAUPPATORI","3"
"9072","6714","7","KAUPPATORI-SÄÄKSVUORI","3"
"9081","6714","8","NENÄINNIEMI-VIITANIEMI","3"
"9082","6714","8","VIITANIEMI-NENÄINNIEMI","3"
"9101","6714","10","KAAKKOLAMPI-KESKUSSAIRAALA","3"
"9102","6714","10","KESKUSSAIRAALA-KAAKKOLAMPI","3"
"9121","6714","12","KANGASLAMPI-MYLLYJÄRVI","3"
"9122","6714","12","MYLLYJÄRVI-KANGASLAMPI","3"
"9123","6714","12K","YLÄMYLLYJÄRVI-KAUPPATORI","3"
"9124","6714","12K","KAUPPATORI-YLÄMYLLYJÄRVI","3"
"9131","6714","13","TIKKALA-KAUPPATORI","3"
"9132","6714","13","KAUPPATORI-TIKKALA","3"
"9133","6714","13M","KORPILAHTI-MUURAME-KAUPPATORI","3"
"9134","6714","13M","KAUPPATORI-MUURAME-KORPILAHTI","3"
"9141","6714","14","VERKKONIEMI-KESKUSTA","3"
"9142","6714","14","KESKUSTA-VERKKONIEMI","3"
"9143","6714","14M","VERKKONIEMI-9TIE-KAUPPATORI","3"
"9144","6714","14M","KAUPPATORI-9TIE-VERKKONIEMI","3"
"9151","6714","15","VIHERLANDIA-KESKUSTA","3"
"9152","6714","15","KESKUSTA-VIHERLANDIA","3"
"9153","6714","15K","VIHERLANDIA-KSAIRAALA","3"
"9154","6714","15K","KSAIRAALA-VIHERLANDIA","3"
"9161","6714","16","MUURATSALO-KAUPPATORI","3"
"9162","6714","16","KAUPPATORI-MUURATSALO","3"
"9163","6714","16M","MUURATSALO-VIITANIEMI","3"
"9164","6714","16M","VIITANIEMI-MUURATSALO","3"
"9181","6714","18","RISTIKIVI-KORTEPOHJA","3"
"9182","6714","18","KORTEPOHJA-RISTIKIVI","3"
"9183","6714","18K","NENÄINNIEMI-KORTEPOHJA","3"
"9184","6714","18K","KORTEPOHJA-NENÄINNIEMI","3"
"9191","6714","19","SAMULINNIEMI-KESKUSSAIRAALA","3"
"9192","6714","19","KESKUSSAIRAALA-SAMULINNIEMI","3"
"9201","6714","20","PUPUHUHTA-KUOKKALA","3"
"9202","6714","20","KUOKKALA-PUPUHUHTA","3"
"9211","6714","21","JAAKKOLA-KAUPPATORI","3"
"9212","6714","21","KAUPPATORI-JAAKKOLA","3"
"9213","6714","21M","JAAKKOLA-9TIE-KAUPPATORI","3"
"9214","6714","21M","KAUPPATORI-9TIE-JAAKKOLA","3"
"9221","6714","22","TIKKAKOSKI-KESKUSTA","3"
"9222","6714","22","KESKUSTA-TIKKAKOSKI","3"
"9223","6714","22M","TIKKAKOSKI-4TIE-KESKUSSAIRAALA","3"
"9224","6714","22M","KESKUSSAIRAALA-4TIE-TIKKAKOSKI","3"
"9251","6714","25","PALOKKA-KAAKKOLAMPI","3"
"9252","6714","25","KAAKKOLAMPI-PALOKKA","3"
"9261","6714","26","HEINÄLAMPI-YLISTÖNMÄKI","3"
"9262","6714","26","YLISTÖNMÄKI-HEINÄLAMPI","3"
"9271","6714","27","HEIKKILÄ-PALOKKA-MUSTALAMPI","3"
"9272","6714","27","MUSTALAMPI-PALOKKA-HEIKKILÄ","3"
"9311","6714","31","SAARENMAA-LINTUKANGAS-KESKUSTA","3"
"9312","6714","31","KESKUSTA-LINTUKANGAS-SAARENMAA","3"
"9321","6714","32","VERTAALA-PALOKKA-KESKUSTA","3"
"9322","6714","32","KESKUSTA-PALOKKA-VERTAALA","3"
"9341","6714","34","TIKKAKOSKI-JYLHÄ-PUUPPOLA","3"
"9342","6714","34","RANNILA-PUUPPOLA","3"
"9361","6714","36","TIKKAKOSKI-MATINMÄKI-KESKUSTA","3"
"9362","6714","36","KESKUSTA-MATINMÄKI-TIKKAKOSKI","3"
"9372","6714","37","KESKUSTA-NUUTTI-RUOKE","3"
"9381","6714","38","ILMONIEMI-KESKUSTA","3"
"9382","6714","38","KESKUSTA-ILMONIEMI","3"
"9383","6714","38K","LEPPÄLAHTI-KESKUSTA","3"
"9384","6714","38K","KESKUSTA-LEPPÄLAHTI","3"
"9391","6714","39","KUOHU-VIITANIEMI","3"
"9392","6714","39","VIITANIEMI-KUOHU","3"
"9411","6714","41","LAUKAA-JYVÄSKYLÄ","3"
"9412","6714","41","JYVÄSKYLÄ-LAUKAA","3"
"9413","6714","41","PEURUNKA-JYVÄSKYLÄ","3"
"9414","6714","41","JYVÄSKYLÄ-PEURUNKA","3"
"9415","6714","41","ÄÄNEKOSKI-JYVÄSKYLÄ","3"
"9416","6714","41","JYVÄSKYLÄ-ÄÄNEKOSKI","3"
"9418","6743","41","JYVÄSKYLÄ-LAUKAA","3"
"9421","6714","42","LIEVESTUORE-JYVÄSKYLÄ","3"
"9422","6714","42","JYVÄSKYLÄ-LIEVESTUORE","3"
