"route_id","service_id","trip_id","direction_id","block_id"
"9011","M-P kesä","fe8ad47e-e0db-4d5b-be89-8ec759ecd6d3","1",""
"9011","M-P kesä","e0712884-6c6c-4bec-95da-342f8d371aa4","1",""
"9011","M-P kesä","761460fd-410d-4401-bd3e-0ee25a07a55e","1",""
"9011","M-P kesä","a9d21eba-4b2a-46c1-bbe9-88ebb8138d70","1",""
"9011","M-P kesä","eddba5bb-04b6-4480-a614-6a058e086df7","1",""
"9011","M-P kesä","b3be2365-b6e1-4556-8d30-1ff798c510c1","1",""
"9011","M-P kesä","53b5644b-3140-425a-94bc-962f73c683c2","1",""
"9011","M-P kesä","9e775e92-7977-438c-8551-f47e9d719723","1",""
"9011","M-P kesä","4c98fa0e-51fb-4af2-a67f-2899af96be7c","1",""
"9011","M-P kesä","0236b11e-605e-4c19-a313-07c637e907fc","1",""
"9011","M-P kesä","3f9266b2-0157-421f-96b3-fef438eced99","1",""
"9011","M-P kesä","0a327eab-a51b-4a18-837c-b71b36382eb6","1",""
"9011","M-P kesä","541b2e02-0c73-4ad5-8607-8d8ca706adb8","1",""
"9011","M-P kesä","4a285d3a-2c46-4440-84e4-d28379a4444a","1",""
"9011","M-P kesä","b4682b2c-e58f-4c6d-9361-c4663342fda0","1",""
"9011","M-P kesä","54c99660-05c5-4cd5-a1e2-3086821498d5","1",""
"9011","M-P kesä","03a9bde4-1483-4695-ba1b-fc700ff8e711","1",""
"9011","M-P kesä","22ed5908-ea5d-4996-a00c-8992af95eb50","1",""
"9011","M-P kesä","db4635d5-bba2-4b2a-a3da-857ef1d744f1","1",""
"9011","M-P kesä","a631671e-01e4-45f5-a955-b0d7f9ba2fdf","1",""
"9011","M-P kesä","80a83930-7ad9-4fb2-8a28-d46add1b8cbb","1",""
"9011","M-P kesä","360e07da-5ec2-4e17-8daf-76a2fa11800d","1",""
"9011","M-P kesä","0bfb6753-437e-411b-a6e4-ec5eeec4fc2b","1",""
"9011","M-P kesä","9e247e64-87bf-40ab-bffd-9508021e7cb0","1",""
"9011","M-P kesä","979a78e3-83dc-4ac5-acf3-9960d598d261","1",""
"9011","M-P kesä","2590bf25-7ce7-4601-998f-1cca9d8797f4","1",""
"9011","M-P kesä","ec39033c-8165-4cb4-9b06-2cb52e585710","1",""
"9011","M-P kesä","8f4ac6b3-9860-4a06-9805-7360c8cac4dc","1",""
"9012","M-P kesä","2827af93-c63b-4433-90c8-9b5893001884","1",""
"9012","M-P kesä","154c0804-c8de-4c48-aab4-76f2aab594af","1",""
"9012","M-P kesä","c377be0f-467b-429d-9e8c-43220958f905","1",""
"9012","M-P kesä","93276675-e03d-42af-bd91-67f9521bd386","1",""
"9012","M-P kesä","027ad4da-7b05-45d3-b3af-bfc0adfe5b6f","1",""
"9012","M-P kesä","897f154f-9f85-4238-ab84-698265530c5b","1",""
"9012","M-P kesä","603aabc2-09d7-474c-b422-67e39b37bbe9","1",""
"9012","M-P kesä","444736a7-3d37-40e7-8a40-4609c2c4cd16","1",""
"9012","M-P kesä","bc9ab616-605d-4b37-9148-facd0137b829","1",""
"9012","M-P kesä","d56f4da7-8e73-498c-94e2-c0a14ba8cca7","1",""
"9012","M-P kesä","2ba1887e-c3c7-4a0d-8065-361fc6867f04","1",""
"9012","M-P kesä","b6375e33-9775-4ce4-a43e-46a0da148330","1",""
"9012","M-P kesä","4dd0213e-c938-408a-bf66-4aea93cd0225","1",""
"9012","M-P kesä","6eb4fb05-2b5c-43b1-8542-ab1db833082b","1",""
"9012","M-P kesä","94fb423e-b1d7-47c6-ab92-048e444cc357","1",""
"9012","M-P kesä","bb2a4f1b-9b12-4f31-8b20-934f8b44cc21","1",""
"9012","M-P kesä","094715af-1d63-4734-a46d-7d1dc851d1ae","1",""
"9012","M-P kesä","1ce5da80-af70-4b04-a4e3-6e2e6c232624","1",""
"9012","M-P kesä","172fb9ad-d569-4eac-b448-d7d3cda01b60","1",""
"9012","M-P kesä","8c737c9f-9add-4224-8321-adf23d30e90e","1",""
"9012","M-P kesä","d14455bb-7646-4706-90d2-f47d638cd61c","1",""
"9012","M-P kesä","8a7b2dbe-0aef-4526-a101-6e56f00bcf65","1",""
"9012","M-P kesä","d0d524aa-4fe2-457b-8dfd-bc5f09bb30ec","1",""
"9012","M-P kesä","b5916b0d-482c-47bc-9e68-058a8f5a17e0","1",""
"9012","M-P kesä","8e110bab-e2da-4132-9559-04779ee76545","1",""
"9012","M-P kesä","a5d0fbc7-af4b-4ec0-bd08-d08f0afe1c99","1",""
"9012","M-P kesä","fe7f46d8-924f-4393-a009-73897e213059","1",""
"9012","M-P kesä","a6585b7c-8bcf-4246-8771-9c655568d7bb","1",""
"9021","M-P kesä","54323572-563e-4c20-aeca-2bcc42b4e55c","1",""
"9021","M-P kesä","8b71d2a2-b698-4edb-8248-295096f1effb","1",""
"9021","M-P kesä","78ef4315-fbe6-40d2-aa8f-a09e83675515","1",""
"9021","M-P kesä","02c6dd00-53c7-49b3-90e5-1abb29b3ea79","1",""
"9021","M-P kesä","85175820-838a-483b-b16f-b622e6d2dd01","1",""
"9021","M-P kesä","17d3a5bd-0719-4bee-84c2-8f1da7ae4ef5","1",""
"9021","M-P kesä","95b34afa-8fa3-41d6-997c-64e0616569ed","1",""
"9021","M-P kesä","b78dce6e-45d7-48dd-bc06-9ded3e49e81e","1",""
"9021","M-P kesä","90f0fdfb-29b4-47a7-b4bd-afcc05893198","1",""
"9021","M-P kesä","9a80ad40-1400-4b65-976a-8d79481dd5e3","1",""
